,Channel,Year,Degree,Level,Nationality,Career,Crypto type,Crypto usage,Crypto knowledge,Duration,Trade performance,Remittance amount,Crypto knowledge source,Influenced family and friends,Intend to use crypto in future
15298,f2f,2022,STEM,MSc,South America,Engineering,"BTC,ETH,ALT","remittance,trans",+++,1,,50,marketing,Y,N
15299,online,2020,Humanities,1st,China,Finance,"BTC,ALT",remittance,++,4-5,,50,friends,N,N
15300,f2f,2020,STEM,MSc,USA,Medical,"BTC,ALT",remittance,+++,4-5,,50,marketing,N,Y
15301,online,2025,Humanities,MSc,India,Retail,ETH,"remittance,trans",+++,,,25,study/research,N,Y
15302,online,2023,STEM,2nd,Africa,Retail,ETH,trade,+++,4-5,++,,friends,N,Y
15303,f2f,2020,Humanities,1st,Europe,Legal,DOGE,trade,+,1-3,--,,friends,N,Y
15304,f2f,2021,STEM,3rd,Turkey,Finance,ETH,remittance,++,1-3,,75,friends,Y,N
15305,online,2023,STEM,PhD,India,Medical,BTC,"trade,remittance",+++,1-3,,100,marketing,Y,Y
15306,f2f,2020,Business,3rd,India,Retail,,"remittance,trans",++,11,,100,friends,Y,Y
15307,f2f,2021,STEM,3rd,UK,Finance,"BTC,NFT,DOGE",trade,+++,,+++,,friends,Y,Y
15308,online,2023,Business,Phd,South America,Finance,ALT,"remittance,trans",++,4-5,,25,study/research,Y,Y
15309,online,2023,Business,2nd,ME,Technology,"BTC,ETH","trade,remittance,trans",++,4-5,++,25,study/research,N,N
15310,online,2023,Business,PhD,Africa,,BTC,trade,+++,1-3,++,,marketing,N,N
15311,f2f,2024,STEM,PhD,China,Technology,"BTC,ALT",trade,+++,4-5,+,,study/research,Y,N
15312,f2f,2021,Humanities,3rd,Europe,Technology,ALT,"remittance,trans",++,1-3,,25,study/research,N,Y
15313,online,2020,Humanities,1st,Europe,Legal,"BTC,ALT",remittance,+,1-3,,25,study/research,N,N
15314,online,2020,STEM,Phd,USA,Retail,BTC,remittance,++,1,,25,marketing,Y,N
15315,f2f,2025,Business,PhD,Turkey,,ALT,"remittance,trans",+++,11,,50,friends,Y,Y
15316,online,2025,Humanities,MSc,South America,Finance,ALT,"remittance,trans",+++,,,25,study/research,Y,N
15317,online,2023,STEM,PhD,USA,Public,"ETH,NFT,ALT",remittance,+++,,,100,marketing,N,N
15318,online,2024,STEM,MSc,India,Retail,,"trade,remittance",+++,1-3,+++,25,study/research,N,Y
15319,f2f,2025,Business,PhD,China,Finance,ALT,"remittance,trans",+++,1,,75,study/research,Y,Y
15320,online,2023,Business,MSc,China,Retail,ETH,"trade,remittance,trans",++,1-3,,50,family,Y,Y
15321,f2f,2021,STEM,Phd,USA,Engineering,"ETH,ALT",remittance,+++,1-3,,100,family,Y,Y
15322,f2f,2023,STEM,MSc,Europe,Finance,"BTC,ETH,ALT","remittance,trans",+++,1-3,,50,study/research,Y,Y
15323,online,2020,Humanities,2nd,Turkey,Public,"BTC,NFT,DOGE",trade,+,1,--,,marketing,Y,N
15324,online,2020,STEM,1st,ME,Retail,BTC,trade,+,1,--,,marketing,N,Y
15325,online,2024,Business,3rd,ME,Medical,"BTC,ETH",remittance,++,1-3,,100,friends,Y,Y
15326,online,2020,STEM,MSc,China,Engineering,"BTC,ETH","trade,remittance",++,4-5,--,25,family,Y,Y
15327,f2f,2020,STEM,3rd,China,Technology,"BTC,ETH","trade,remittance,trans",,,,,family,Y,Y
15328,online,2022,Business,MSc,Turkey,,"BTC,ETH",trade,++,1,--,,marketing,Y,N
15329,online,2020,Business,1st,Turkey,Medical,BTC,trade,+,1,-,,friends,Y,N
15330,online,2023,Business,Phd,Turkey,Public,"BTC,ETH",remittance,+++,1-3,,25,marketing,Y,Y
15331,online,2022,STEM,1st,Africa,,"BTC,NFT,DOGE",trade,++,1-3,--,,study/research,Y,N
15332,f2f,2021,STEM,PhD,UK,Engineering,BTC,trade,+++,1,+++,,study/research,Y,Y
15333,online,2021,Business,2nd,Turkey,Retail,NFT,trade,+,1-3,,,marketing,Y,Y
15334,f2f,2020,Business,MSc,USA,Legal,"BTC,ALT",remittance,+++,1-3,,50,friends,N,N
15335,f2f,2025,STEM,Phd,USA,Legal,ALT,"remittance,trans",++,1,,50,friends,Y,Y
15336,online,2025,Business,3rd,Turkey,Technology,"BTC,ALT","remittance,trans",+++,1-3,,75,study/research,Y,Y
15337,online,2023,Business,1st,Africa,Medical,BTC,remittance,++,1-3,,75,friends,N,Y
15338,f2f,2021,Humanities,PhD,Europe,,BTC,remittance,++,1-31-3,,50,family,N,Y
15339,online,2024,Business,MSc,Turkey,Finance,"ETH,NFT,ALT",remittance,+++,11-3,,75,family,N,N
15340,online,2022,STEM,1st,ME,Engineering,BTC,remittance,+++,1,,75,friends,N,Y
15341,online,2020,Humanities,3rd,USA,Legal,ALT,"remittance,trans",++,4-5,,50,study/research,Y,Y
15342,f2f,2025,Business,MSc,India,Technology,ALT,"remittance,trans",++,1,,25,marketing,Y,Y
15343,f2f,2021,STEM,MSc,Europe,Engineering,"BTC,NFT",trade,+++,,--,,study/research,Y,Y
15344,f2f,2020,Humanities,PhD,South America,Technology,BTC,remittance,+,1-3,,25,marketing,N,N
15345,f2f,2020,Humanities,1st,USA,Legal,"BTC,NFT,DOGE",trade,+,1-3,-,,friends,N,N
15346,f2f,2020,STEM,MSc,Turkey,,"BTC,ETH",remittance,+++,11-3,,75,marketing,Y,N
15347,online,2025,Business,MSc,USA,,ALT,"remittance,trans",+++,1,,25,friends,N,Y
15348,f2f,2020,STEM,3rd,Europe,Medical,"BTC,ETH,ALT",remittance,+++,5+,,25,friends,N,Y
15349,f2f,2020,Business,3rd,USA,Technology,"BTC,NFT",remittance,+++,4-5,,25,marketing,N,Y
15350,online,2021,Business,MSc,India,Technology,BTC,"trade,remittance",+++,4-5,+,50,study/research,N,Y
15351,online,2021,Business,3rd,USA,Legal,"BTC,ALT","remittance,trans",+++,1-3,,100,study/research,Y,N
15352,online,2024,Business,3rd,Turkey,Legal,"BTC,NFT,DOGE",trade,+++,1,--,,marketing,Y,N
15353,f2f,2020,Humanities,3rd,USA,Technology,"NFT,ALT",remittance,+++,1-3,,100,marketing,Y,Y
15354,online,2021,STEM,PhD,Africa,Retail,,"trade,remittance",+,4-5,,,family,N,N
15355,online,2020,Business,3rd,China,Finance,"ETH,NFT,ALT","remittance,trans",++,1,,50,study/research,N,Y
15356,online,2023,Business,MSc,Turkey,Medical,"BTC,ALT",trade,+++,1,--,,friends,Y,N
15357,online,2024,Humanities,1st,South America,Medical,BTC,remittance,+,1-3,,25,marketing,Y,Y
15358,f2f,2020,STEM,1st,Africa,,"ETH,ALT",trade,++,1,++,,friends,Y,Y
15359,online,2023,Business,1st,ME,Medical,ETH,remittance,++,1-3,,100,family,Y,Y
15360,online,2020,Humanities,PhD,India,Medical,"BTC,NFT,DOGE",trade,++,1,--,,marketing,Y,Y
15361,online,2020,Humanities,MSc,China,Finance,"BTC,ALT","remittance,trans",+++,4-5,,75,family,Y,Y
15362,online,2023,STEM,2nd,USA,Legal,"BTC,ALT",remittance,+,1-3,,25,marketing,N,N
15363,f2f,2024,Business,2nd,Europe,,"BTC,ALT",remittance,+++,5+,,50,marketing,Y,Y
15364,online,2021,Business,1st,USA,Retail,,trade,++,1,--,,marketing,N,Y
15365,online,2022,STEM,MSc,Turkey,Technology,BTC,"trade,remittance",,5+,+,50,friends,Y,Y
15366,online,2022,STEM,2nd,China,Finance,"BTC,ETH",remittance,+,1-3,,25,friends,Y,N
15367,f2f,2024,Business,2nd,USA,Engineering,"BTC,ETH","trade,remittance,trans",+++,1-3,++,100,marketing,Y,Y
15368,online,2022,Humanities,3rd,Turkey,Technology,"BTC,NFT",remittance,+++,1,,75,friends,N,N
15369,online,2025,Business,Phd,Turkey,Finance,"BTC,DOGE","remittance,trans",+++,1,,100,friends,Y,N
15370,online,2025,Business,MSc,India,Retail,ALT,"remittance,trans",++,1,,100,friends,Y,Y
15371,f2f,2024,Humanities,Phd,Turkey,Technology,"BTC,ALT","remittance,trans",++,5+,,50,marketing,Y,Y
15372,f2f,2021,Business,3rd,South America,,"BTC,ALT","remittance,trans",++,1,,75,family,Y,N
15373,online,2024,STEM,MSc,China,Retail,"BTC,ETH","trade,remittance",++,4-5,++,75,family,Y,N
15374,online,2020,Humanities,Phd,USA,Public,"ETH,NFT,ALT",remittance,+++,1-3,,50,family,Y,Y
15375,online,2021,STEM,MSc,China,Engineering,BTC,"trade,remittance",++,4-5,++,25,friends,Y,Y
15376,online,2024,STEM,MSc,China,Medical,"BTC,ETH",remittance,++,11-3,,50,friends,Y,Y
15377,online,2025,Business,3rd,South America,Finance,"BTC,DOGE","remittance,trans",+++,11,,50,study/research,Y,N
15378,online,2023,Humanities,1st,Europe,Legal,,remittance,++,,,25,marketing,N,Y
15379,online,2021,Humanities,Phd,USA,Engineering,BTC,remittance,+++,1-31-3,,25,marketing,Y,Y
15380,online,2021,Business,MSc,Turkey,Retail,"BTC,NFT,DOGE",trade,++,1,,,marketing,Y,N
15381,online,2024,Business,MSc,China,Finance,BTC,"trade,remittance,trans",++,4-5,++,50,family,Y,Y
15382,online,2022,STEM,3rd,India,,"BTC,ALT",remittance,+,4-5,,25,study/research,Y,Y
15383,online,2021,Business,MSc,South America,Finance,BTC,"trade,remittance",++,4-5,++,,marketing,Y,N
15384,online,2024,Business,MSc,China,Technology,"BTC,ETH","trade,remittance,trans",+++,,++,25,family,Y,Y
15385,online,2022,Business,Phd,USA,Technology,"BTC,ALT","remittance,trans",+++,4-5,,50,study/research,Y,Y
15386,online,2024,STEM,PhD,ME,Technology,"ETH,NFT,ALT",remittance,+,1,,100,friends,Y,N
15387,f2f,2023,Business,MSc,China,Finance,ALT,"remittance,trans",++,5+,,25,family,Y,Y
15388,online,2024,STEM,MSc,Europe,Finance,BTC,remittance,+,1-3,,75,marketing,N,Y
15389,f2f,2021,Business,MSc,Turkey,Technology,BTC,"trade,remittance",++,5+,-,25,family,Y,Y
15390,online,2025,Business,PhD,India,Finance,BTC,"remittance,trans",+++,4-5,,100,marketing,Y,Y
15391,online,2021,Humanities,2nd,ME,,NFT,trade,++,1-3,++,,friends,N,N
15392,f2f,2020,Business,1st,USA,Finance,"BTC,ALT",remittance,+++,,,50,marketing,N,Y
15393,f2f,2020,STEM,2nd,Africa,,BTC,trade,++,1,--,,marketing,Y,N
15394,f2f,2021,Humanities,MSc,South America,,"BTC,NFT",remittance,+,1-3,,25,marketing,Y,Y
15395,online,2021,Business,MSc,China,Technology,BTC,"trade,remittance",+++,1,-,100,friends,Y,Y
15396,online,2024,Humanities,1st,USA,,NFT,trade,+++,1,+,,marketing,N,Y
15397,online,2021,STEM,PhD,UK,Engineering,"BTC,ETH",trade,+++,,++,,study/research,N,Y
15398,online,2022,STEM,MSc,Turkey,Engineering,ETH,"trade,remittance",+++,1,--,100,family,N,N
15399,online,2024,Humanities,3rd,India,,ALT,"remittance,trans",+++,1,,50,study/research,Y,Y
15400,f2f,2020,Humanities,2nd,USA,Engineering,"BTC,ALT",remittance,++,1-3,,100,marketing,N,Y
15401,online,2021,STEM,PhD,Turkey,Finance,NFT,trade,+++,1-3,--,,study/research,Y,N
15402,online,2025,Business,3rd,India,Legal,"BTC,DOGE","remittance,trans",++,1-3,,100,family,Y,Y
15403,f2f,2020,Humanities,3rd,Europe,Engineering,"BTC,DOGE",remittance,+,1-3,,25,marketing,Y,Y
15404,online,2024,STEM,3rd,South America,Finance,BTC,"trade,remittance,trans",+++,1-3,+,25,family,Y,Y
15405,f2f,2020,Humanities,Phd,South America,Legal,BTC,remittance,+++,1-31-3,,100,marketing,N,N
15406,f2f,2023,STEM,MSc,China,Engineering,"BTC,NFT",trade,+++,4-5,+++,,friends,Y,N
15407,f2f,2025,Business,3rd,Europe,Finance,ALT,"remittance,trans",+++,4-5,,50,study/research,Y,Y
15408,online,2020,Business,MSc,ME,,"ETH,ALT",trade,+,1-3,--,,marketing,Y,N
15409,online,2022,Humanities,2nd,India,Engineering,"ETH,NFT,ALT",remittance,+,11-3,,75,study/research,Y,Y
15410,f2f,2023,Business,PhD,China,Medical,"BTC,ETH","trade,remittance",+++,1,++,25,marketing,N,Y
15411,online,2024,STEM,MSc,UK,Technology,"BTC,DOGE",trade,+++,5+,-,,friends,Y,N
15412,f2f,2024,Humanities,MSc,Europe,Retail,"BTC,ALT",remittance,+++,1-3,,25,study/research,N,N
15413,online,2025,STEM,3rd,Turkey,Retail,"BTC,ALT","remittance,trans",++,4-5,,25,marketing,Y,Y
15414,online,2022,STEM,MSc,ME,Retail,NFT,"trade,remittance",++,5+,,25,marketing,Y,Y
15415,f2f,2024,STEM,MSc,ME,Engineering,"NFT,ALT",trade,++,5+,+++,,study/research,Y,N
15416,f2f,2021,STEM,MSc,China,Technology,"BTC,ETH","trade,remittance",++,1-3,++,50,marketing,Y,Y
15417,f2f,2020,STEM,3rd,China,Engineering,NFT,trade,+++,1,+++,,study/research,Y,N
15418,f2f,2022,Business,3rd,India,Technology,"NFT,ALT",remittance,++,1-3,,75,friends,Y,Y
15419,f2f,2024,STEM,2nd,ME,Medical,"NFT,ALT",remittance,+++,1-3,,75,friends,Y,Y
15420,online,2022,STEM,1st,India,Medical,ETH,remittance,++,,,75,friends,Y,N
15421,online,2021,STEM,PhD,Turkey,Engineering,"ETH,DOGE",trade,+++,4-5,,,friends,Y,Y
15422,online,2022,STEM,PhD,ME,,BTC,remittance,+++,,,100,marketing,Y,Y
15423,f2f,2022,STEM,MSc,India,Engineering,BTC,"trade,remittance,trans",++,1-3,-,,marketing,Y,Y
15424,online,2025,STEM,PhD,Turkey,Medical,"BTC,ALT","remittance,trans",+++,4-5,,25,study/research,Y,Y
15425,online,2023,Humanities,3rd,USA,Technology,"ETH,ALT","remittance,trans",++,,,100,friends,Y,Y
15426,online,2024,Humanities,MSc,Turkey,Finance,"BTC,ALT","remittance,trans",+++,1-3,,25,family,Y,Y
15427,online,2021,Business,1st,Turkey,Retail,ALT,"remittance,trans",+++,1,,25,study/research,N,Y
15428,online,2021,Business,PhD,Europe,Engineering,"BTC,NFT,ALT",trade,+++,4-5,+,,study/research,Y,Y
15429,f2f,2020,Business,MSc,USA,Finance,,remittance,+++,1,,50,marketing,Y,Y
15430,online,2023,STEM,2nd,Europe,Finance,ETH,trade,++,1,++,,study/research,Y,N
15431,f2f,2021,Business,3rd,Africa,Engineering,BTC,trade,+++,5+,++,,friends,Y,Y
15432,online,2021,Business,1st,ME,Engineering,"BTC,ETH",remittance,+++,11-3,,75,family,Y,N
15433,f2f,2021,STEM,3rd,Africa,Engineering,BTC,trade,+++,5+,+++,,study/research,Y,Y
15434,f2f,2023,STEM,MSc,Turkey,Medical,"BTC,ALT","remittance,trans",+++,1,,25,family,Y,Y
15435,online,2021,STEM,2nd,Europe,Finance,"BTC,ETH",trade,+,1,,,friends,Y,Y
15436,f2f,2024,STEM,PhD,Africa,Finance,"BTC,ETH","trade,remittance,trans",+++,1-3,+,,marketing,N,Y
15437,f2f,2020,Business,1st,South America,Technology,"BTC,ALT","remittance,trans",++,11,,50,study/research,Y,Y
15438,online,2023,Business,MSc,Africa,Finance,"BTC,ETH",trade,+++,1,--,,marketing,Y,Y
15439,online,2021,STEM,PhD,India,Finance,,remittance,+++,11-3,,75,family,Y,Y
15440,online,2021,STEM,MSc,ME,Retail,NFT,trade,++,5+,--,,marketing,Y,N
15441,f2f,2024,Business,1st,UK,Public,"ETH,ALT",trade,+,1,--,,friends,Y,N
15442,online,2020,STEM,2nd,South America,Engineering,BTC,"trade,remittance,trans",+++,1-3,++,50,family,N,Y
15443,f2f,2022,STEM,3rd,South America,Engineering,"NFT,ALT",remittance,++,1-3,,100,friends,Y,Y
15444,online,2020,Business,MSc,Turkey,Technology,ALT,"remittance,trans",+++,,,75,study/research,Y,Y
15445,online,2020,Business,PhD,USA,Medical,BTC,remittance,+++,1-31-3,,50,family,Y,Y
15446,online,2025,STEM,MSc,USA,Finance,BTC,"remittance,trans",+++,11,,75,friends,Y,Y
15447,online,2024,Humanities,1st,USA,Medical,"BTC,ETH",trade,+,1,--,,marketing,N,N
15448,f2f,2020,Humanities,1st,ME,Medical,"BTC,ETH",remittance,++,4-5,,50,friends,Y,Y
15449,online,2020,Business,2nd,Africa,Finance,NFT,trade,+++,1-3,--,,marketing,Y,Y
15450,online,2023,STEM,3rd,USA,Finance,"BTC,ETH",remittance,+++,4-5,,75,marketing,N,N
15451,online,2025,Business,Phd,China,Technology,ALT,"remittance,trans",+++,4-5,,75,family,Y,N
15452,online,2021,STEM,2nd,ME,Engineering,NFT,"trade,remittance,trans",,4-5,--,,family,Y,Y
15453,online,2024,Business,MSc,Turkey,Medical,ALT,"remittance,trans",+++,1,,100,study/research,Y,Y
15454,f2f,2023,Business,1st,USA,Medical,,"remittance,trans",+++,1,,50,study/research,Y,Y
15455,f2f,2024,Humanities,2nd,South America,Legal,"BTC,ETH,ALT",remittance,+++,1-3,,25,marketing,N,Y
15456,f2f,2020,Business,PhD,USA,Technology,ALT,"remittance,trans",+++,1-3,,75,study/research,Y,N
15457,online,2023,Business,MSc,China,Technology,BTC,trade,+++,5+,,,friends,Y,N
15458,online,2023,Business,PhD,Africa,Medical,"BTC,ETH","trade,remittance",+++,1,-,25,marketing,Y,Y
15459,online,2021,STEM,PhD,Africa,Finance,NFT,"trade,remittance",,1-3,+++,25,family,Y,Y
15460,f2f,2024,STEM,2nd,ME,Finance,"ETH,ALT",trade,++,1,+,,marketing,Y,N
15461,f2f,2020,Business,3rd,South America,Medical,ALT,"remittance,trans",++,1,,75,study/research,Y,Y
15462,online,2024,Humanities,Phd,USA,Medical,"BTC,ETH,ALT","remittance,trans",+++,1-3,,50,study/research,N,Y
15463,f2f,2021,STEM,MSc,Africa,Engineering,DOGE,trade,+++,,,,friends,Y,N
15464,online,2020,Humanities,3rd,Europe,Technology,ALT,"remittance,trans",+++,4-5,,25,study/research,Y,Y
15465,online,2025,STEM,3rd,South America,Retail,"BTC,ALT","remittance,trans",++,4-5,,50,study/research,Y,N
15466,online,2025,Humanities,PhD,Turkey,Legal,"BTC,ETH","remittance,trans",++,,,25,study/research,Y,Y
15467,online,2023,Humanities,PhD,South America,Engineering,"BTC,ETH,ALT",remittance,++,1-3,,75,family,N,Y
15468,online,2022,STEM,1st,Africa,Medical,"ETH,NFT,ALT",remittance,++,,,75,study/research,N,Y
15469,online,2023,Business,PhD,Turkey,Technology,"BTC,ALT","remittance,trans",++,,,100,study/research,Y,Y
15470,online,2020,STEM,MSc,Africa,Engineering,BTC,trade,++,4-5,--,,friends,Y,Y
15471,f2f,2021,STEM,MSc,Europe,Engineering,"BTC,ETH,NFT",trade,++,4-5,--,,study/research,N,N
15472,f2f,2023,STEM,3rd,Turkey,Finance,BTC,"remittance,trans",+++,1,,25,marketing,Y,N
15473,online,2022,Business,3rd,Africa,,ETH,trade,+,1,,,marketing,Y,Y
15474,online,2020,Business,MSc,South America,Public,"BTC,ALT","remittance,trans",+++,1,,75,study/research,N,Y
15475,online,2022,Humanities,MSc,Turkey,Technology,ALT,"remittance,trans",+++,5+,,75,study/research,Y,Y
15476,online,2020,STEM,MSc,China,Medical,,"trade,remittance",++,1-3,-,50,marketing,N,Y
15477,online,2024,STEM,PhD,Turkey,Legal,"BTC,ALT","remittance,trans",++,4-5,,50,family,Y,Y
15478,online,2022,Business,3rd,Turkey,Technology,BTC,remittance,+++,1,,25,friends,N,Y
15479,online,2023,Business,1st,China,Medical,ETH,remittance,++,1-3,,50,friends,Y,Y
15480,f2f,2020,STEM,3rd,China,Engineering,ETH,trade,+++,4-5,+++,,study/research,Y,Y
15481,online,2024,Humanities,3rd,Turkey,Technology,"BTC,ETH,ALT","remittance,trans",+++,1,,75,study/research,Y,N
15482,online,2021,STEM,2nd,Africa,Medical,BTC,trade,+,1,-,,marketing,Y,Y
15483,f2f,2021,Business,3rd,Europe,Engineering,"BTC,ETH,ALT","remittance,trans",++,1,,75,study/research,Y,Y
15484,online,2021,STEM,PhD,China,Technology,"BTC,ETH","trade,remittance",+++,4-5,-,25,family,Y,Y
15485,online,2021,Humanities,MSc,ME,Finance,"BTC,DOGE",trade,++,1,,,family,Y,Y
15486,online,2022,STEM,PhD,ME,Finance,"BTC,DOGE",trade,+++,1-3,++,,marketing,N,N
15487,f2f,2020,Humanities,PhD,South America,Legal,"BTC,DOGE",remittance,++,1-31-3,,25,marketing,Y,N
15488,f2f,2025,Business,1st,USA,Technology,ALT,"remittance,trans",+++,4-5,,50,study/research,Y,Y
15489,online,2021,Business,MSc,Africa,Technology,BTC,"trade,remittance",+++,4-5,,75,family,Y,Y
15490,online,2020,STEM,MSc,South America,Technology,BTC,"trade,remittance",,5+,+++,100,family,Y,N
15491,f2f,2021,STEM,PhD,UK,Technology,BTC,trade,++,4-5,,,study/research,N,Y
15492,f2f,2021,STEM,MSc,Africa,Finance,"ETH,ALT",trade,+++,4-5,-,,study/research,Y,N
15493,online,2022,Business,3rd,USA,Finance,"BTC,ALT","remittance,trans",+++,5+,,50,study/research,Y,Y
15494,f2f,2021,Humanities,PhD,Europe,Retail,"BTC,ETH",remittance,+++,1-3,,25,marketing,Y,Y
15495,online,2020,Business,1st,Europe,Public,BTC,trade,+++,1,-,,study/research,Y,N
15496,online,2022,Humanities,3rd,Turkey,Engineering,BTC,remittance,++,1-3,,100,family,Y,Y
15497,online,2021,STEM,PhD,UK,Engineering,BTC,trade,++,,+++,,study/research,Y,N
15498,online,2024,Business,PhD,Africa,Finance,ETH,"trade,remittance,trans",++,4-5,+,,friends,Y,N
15499,online,2021,STEM,2nd,Africa,Retail,"BTC,ETH,ALT",trade,+,1,--,,marketing,N,Y
15500,f2f,2024,Business,PhD,Africa,Finance,NFT,trade,+++,4-5,++,,friends,Y,Y
15501,f2f,2020,STEM,PhD,Europe,Finance,"BTC,ETH",trade,+,1,+,,friends,Y,Y
15502,online,2020,Business,3rd,Europe,,"BTC,ALT",remittance,++,1-3,,25,family,N,Y
15503,f2f,2020,Humanities,1st,Turkey,Retail,"BTC,ALT",remittance,++,1-3,,25,family,Y,Y
15504,online,2020,Humanities,2nd,South America,Finance,"BTC,ETH",remittance,+++,1-31-3,,50,marketing,N,Y
15505,online,2020,Humanities,1st,USA,Legal,BTC,remittance,+++,1-3,,25,friends,Y,N
15506,f2f,2021,STEM,PhD,UK,Finance,"BTC,ETH",trade,+++,4-5,+++,,friends,Y,N
15507,f2f,2020,STEM,2nd,China,Technology,ETH,remittance,++,1-3,,75,friends,Y,Y
15508,f2f,2022,Business,1st,Europe,,"ETH,NFT,ALT",remittance,+++,1-31-3,,25,marketing,Y,N
15509,online,2020,STEM,1st,China,Finance,"BTC,ETH",remittance,++,4-5,,100,study/research,Y,N
15510,f2f,2021,STEM,MSc,Turkey,Finance,BTC,trade,+++,4-5,,,study/research,N,N
15511,online,2021,Humanities,PhD,USA,Medical,"BTC,ALT",trade,+,1,--,,friends,N,N
15512,online,2021,Business,MSc,South America,Engineering,"BTC,ETH",remittance,+++,1,,75,marketing,Y,Y
15513,online,2024,STEM,MSc,China,Technology,DOGE,"trade,remittance",+,,+,50,study/research,Y,Y
15514,online,2024,Business,MSc,USA,Finance,"BTC,ALT",remittance,+++,4-5,,25,marketing,N,Y
15515,online,2024,STEM,3rd,USA,Public,DOGE,trade,++,1,--,,marketing,Y,Y
15516,online,2023,STEM,2nd,India,Retail,"BTC,NFT","trade,remittance,trans",+++,,--,,family,Y,Y
15517,f2f,2025,Business,Phd,South America,Technology,"BTC,ALT","remittance,trans",++,1,,25,study/research,Y,Y
15518,online,2020,Humanities,1st,USA,Legal,"BTC,ETH",trade,+,1-3,-,,marketing,N,N
15519,online,2025,STEM,Phd,USA,Technology,ALT,"remittance,trans",+++,1,,25,study/research,N,Y
15520,online,2020,STEM,1st,India,Medical,"BTC,NFT,DOGE",trade,+++,1,+,,friends,Y,N
15521,online,2024,Humanities,1st,Europe,Finance,BTC,trade,++,1-3,++,,family,Y,N
15522,f2f,2021,STEM,PhD,UK,Finance,ETH,trade,+++,,+,,friends,N,Y
15523,f2f,2021,STEM,PhD,China,Engineering,DOGE,trade,+++,4-5,--,,friends,Y,N
15524,online,2024,Humanities,3rd,Turkey,Finance,"BTC,ETH",remittance,++,1-3,,50,study/research,Y,N
15525,online,2021,STEM,MSc,Europe,Finance,"BTC,ETH,NFT",trade,+++,1-3,+,,study/research,N,Y
15526,online,2021,Business,1st,USA,Public,"BTC,ETH,NFT",trade,+,1,+,,marketing,N,N
15527,f2f,2020,STEM,MSc,USA,Engineering,ALT,"remittance,trans",+++,,,25,study/research,Y,Y
15528,online,2021,Humanities,1st,Turkey,,DOGE,trade,++,1-3,--,,friends,Y,N
15529,online,2025,Humanities,MSc,USA,Technology,"ETH,NFT,ALT","remittance,trans",+++,4-5,,50,study/research,N,Y
15530,online,2021,STEM,MSc,Turkey,Technology,,"trade,remittance",++,,+++,25,family,Y,Y
15531,f2f,2020,Business,Phd,USA,Engineering,"BTC,ETH,ALT","remittance,trans",+++,1,,100,study/research,Y,N
15532,f2f,2023,STEM,PhD,Europe,Engineering,NFT,trade,+++,1-3,-,,study/research,Y,Y
15533,online,2020,STEM,PhD,Europe,Medical,"BTC,ALT",remittance,+++,1-3,,50,marketing,N,Y
15534,online,2022,STEM,MSc,ME,Medical,,"trade,remittance",+++,1-3,++,75,marketing,N,Y
15535,f2f,2022,Humanities,3rd,India,Legal,ALT,"remittance,trans",++,4-5,,25,study/research,Y,Y
15536,f2f,2024,STEM,PhD,South America,,,remittance,+,,,50,family,Y,Y
15537,f2f,2023,STEM,PhD,UK,Engineering,"ETH,DOGE",trade,+++,5+,+++,,study/research,Y,N
15538,f2f,2021,Business,PhD,USA,Retail,"BTC,ETH",trade,+++,1,+,,friends,Y,N
15539,online,2023,STEM,1st,Africa,,ETH,remittance,+++,1,,75,friends,Y,N
15540,f2f,2020,STEM,PhD,ME,Finance,"ETH,NFT,ALT",trade,+++,5+,+,,study/research,Y,Y
15541,f2f,2020,Business,2nd,USA,Retail,"BTC,NFT",trade,+,1,--,,marketing,Y,N
15542,online,2023,STEM,MSc,Turkey,Medical,"BTC,ETH,ALT",remittance,++,5+,,25,family,Y,Y
15543,f2f,2023,Humanities,PhD,USA,Technology,"BTC,ETH",remittance,++,1-3,,100,marketing,Y,N
15544,online,2024,STEM,MSc,Africa,,"BTC,DOGE",trade,++,1,--,,friends,N,N
15545,f2f,2022,Humanities,MSc,USA,Legal,"BTC,ALT",remittance,+++,1-31-3,,25,family,N,Y
15546,online,2020,Humanities,1st,UK,Medical,"ETH,ALT",trade,+++,1,--,,marketing,Y,Y
15547,online,2021,Humanities,MSc,Africa,Finance,"ETH,ALT",trade,+,1-3,+,,marketing,N,Y
15548,online,2020,STEM,3rd,Africa,Retail,BTC,trade,+++,1,--,,marketing,Y,N
15549,online,2021,STEM,MSc,Turkey,Retail,DOGE,"trade,remittance",+++,,--,,marketing,Y,Y
15550,online,2021,STEM,1st,Africa,,ETH,trade,++,5+,--,,marketing,Y,N
15551,f2f,2021,Business,3rd,Europe,Medical,"BTC,NFT",remittance,+++,1-3,,25,family,N,Y
15552,f2f,2024,Humanities,3rd,Turkey,Technology,"BTC,ALT","remittance,trans",+++,1,,75,study/research,N,Y
15553,online,2020,Humanities,2nd,Europe,Technology,"BTC,ALT",remittance,++,5+,,100,family,N,Y
15554,online,2023,STEM,PhD,Africa,Retail,"BTC,DOGE",trade,++,1,,,friends,N,N
15555,f2f,2020,Business,PhD,USA,Legal,"BTC,ETH",remittance,+++,5+,,25,family,N,Y
15556,online,2024,STEM,2nd,Africa,Finance,"BTC,ETH",trade,++,1-3,,,marketing,Y,N
